diameter_mm,x0_cm,y0_cm
0.5645761,25.742653,13.925949
0.57016294,25.998245,13.929668
0.4403445,26.208843,12.7236595
0.6984431,24.994242,10.568426
0.62203474,25.678892,10.045758
0.4918444,25.779339,8.996717
0.4399797,24.027954,8.846683
0.48771046,26.3092,3.8225765
0.53089183,23.86788,4.29588
0.5698214,22.820389,4.5051956
0.66742145,22.049381,6.041642
0.6739229,21.663164,5.2568097
0.56961555,21.819862,5.743979
0.41473705,21.859028,5.7882514
0.3887802,19.569635,5.6528
0.6687137,18.163347,6.0463853
0.4406578,22.130072,2.9265618
0.35583902,21.433678,2.7494545
0.6644573,25.08311,4.79677
0.4634268,25.077541,5.0251956
0.4406468,25.293543,4.56976
0.51832978,24.162857,7.0244484
0.38876873,25.40703,7.6076646
0.5682317,20.47365,10.495263
0.6554051,17.665674,8.8146925
0.6554051,21.406563,14.17312
0.6677426,20.681929,12.146705
0.4299448,20.471998,13.763777
0.62204268,17.665674,8.8146925
0.62204268,21.406563,14.17312
0.7474275,18.748377,14.779708
0.46456408,19.372917,15.65338
0.6439024,22.804842,15.733733
0.69910735,23.857021,12.117426
0.59616834,19.623417,11.594794
0.6478745,22.10789,11.191242
0.7258144,22.671766,11.117941
0.4665339,19.821884,9.235868
0.5442746,22.11831,9.947997
0.44063486,22.808117,7.905269
0.4147407,22.20862,4.5789757
0.57017654,22.093273,4.856762
0.4662357,19.606249,2.161984
0.59608124,18.858088,1.7297424
0.5671199,19.68048,3.079559
0.4375542,23.416565,0.45101643
0.4661248,24.424284,1.3991578
0.77410035,22.6724,1.2919478
0.5878319,21.807182,0.9696422
0.41355833,6.7289534,8.144432
0.466572,7.513966,3.6741698
0.959005,16.092241,9.196363
0.5155504,15.494235,7.9227343
0.62173396,15.221203,7.516352
0.68862624,7.1789885,18.13538
0.59222735,15.382096,16.910599
0.6637463,11.292223,15.435301
0.5961456,8.095741,16.7532
0.41344043,7.478863,13.890335
0.48840605,15.619683,12.581802
0.6711597,16.78186,17.794588
0.75152315,15.323911,17.781103
0.4626521,9.674452,9.143423
0.43962583,14.266853,6.6808105
0.43864083,9.9689665,4.742413
0.33420406,12.98639,3.4344609
0.51225122,17.619436,2.3772628
0.25919927,17.354353,2.4594781
0.647941,17.551754,2.8944423
0.59001196,17.377249,2.9661386
0.57014167,18.01897,3.8319519
0.51496305,15.473815,4.9379525
0.53361338,16.672289,5.0178113
0.46590794,15.335887,5.0625615
0.6978398,15.132379,5.1789126
0.5392276,15.110973,6.169118
0.4095929,15.921651,6.130538
0.6471127,17.941444,5.363048
0.53787537,17.893461,5.227823
0.49194794,16.405077,2.234238
0.37643086,16.364275,1.6281747
0.49679674,14.977794,1.7082165
0.44031776,12.366671,4.836439
0.6432961,13.085879,7.9712963
0.6477782,11.505019,7.696275
0.9072409,10.132338,6.5569115
0.44403303,9.185833,7.296125
0.61859105,9.732883,5.862086
0.61859105,8.676174,1.4641316
0.6124748,14.201048,7.6213627
0.5433807,9.732883,5.862086
0.5433807,8.676174,1.4641316
0.3628874,10.284767,2.525783
0.6220307,11.97991,2.1151059
0.38838387,9.713829,3.7622979
0.35377517,6.05879,3.9947693
0.51835112,7.0037146,5.355172
0.4355021,7.366299,2.5765004
0.55356093,9.201772,2.732019
0.46621177,7.6258063,2.835701
0.31054182,6.98533,4.510728
0.3888132,7.2051034,4.5349517
0.54424196,7.120331,3.8625178
0.4642453,5.800581,14.86212
0.4304696,5.6621323,15.564538
0.5443562,1.9438529,17.758118
0.41467316,3.319955,14.744563
0.54436363,3.5088215,15.110029
0.54434024,2.8359277,15.140151
0.518337,4.624156,14.1155205
0.49184646,2.0919254,11.771603
0.51832534,1.3094589,9.486444
0.62209472,2.3872385,9.333436
0.8802193,5.1218834,9.119042
0.54343514,5.1374397,8.80778
0.7505183,4.998688,8.842224
0.4664978,5.0130215,8.569312
0.49122117,7.688896,10.326796
0.64790905,9.240705,8.766825
0.9581271,7.922534,6.8852735
0.6206615,3.9159122,4.686055
0.6974413,0.6687483,4.1524615
0.3881519,3.0232654,3.4085999
0.62174544,4.410417,3.4266126
0.6997125,18.323961,18.054365
0.7718029,21.150385,18.230448
0.58688372,25.398067,13.945085
0.54231547,24.06623,13.002121
0.36282487,6.0528917,6.3339734
0.72566025,6.9576173,7.595134
0.33467736,11.278681,9.49261
0.6997392,5.226928,11.348808
0.8214335,7.465045,2.0756967
0.6969275,12.824555,8.698939
0.56737553,12.779239,10.474505
0.41453607,7.7807045,11.394607
0.7257589,11.935153,12.961924
0.56331143,12.638762,13.136405
0.62175326,25.75146,1.9387707
0.7455316,24.836597,1.4100906
0.48962086,13.407023,15.805408
